ds,year,month,total_hm3,RioCofio_LaAcena,RioGuadalix_Pedrezuela,RioGuadarrama-Aulencia_LaJorosa,RioGuadarrama-Aulencia_Navalmedio,RioGuadarrama-Aulencia_Valmayor,RioJarama_ElVado,RioLozoya_ElAtazar,RioLozoya_ElVillar,RioLozoya_LaPinilla,RioLozoya_PuentesViejas,RioLozoya_Riosequillo,RioManzanares_Navacerrada,RioManzanares_Santillana
2018-02-01,2018,febrero,478.47999999999996,6.518,20.225,2.822,0.368,44.133,23.074,238.833,18.645,21.38,32.532,27.911,5.901,36.138
2018-03-01,2018,marzo,692.99,15.631,36.385,6.128,0.515,68.376,46.504,304.444,22.645,29.866,41.257,44.25,9.327,67.662
2018-04-01,2018,abril,819.029,19.467,36.234,6.089,0.516,92.192,47.154,378.702,22.686,32.601,45.676,45.146,9.269,83.297
2018-05-01,2018,mayo,856.0190000000001,20.379,37.031,6.15,0.391,103.394,46.295,412.17,21.55,30.488,43.317,37.953,9.352,87.549
2018-06-01,2018,junio,862.711,21.461,38.027,6.012,0.34,103.525,44.364,417.207,21.55,29.404,46.472,38.456,8.746,87.147
2018-07-01,2018,julio,820.5970000000001,19.526,37.145,4.898,0.387,103.394,30.972,411.022,21.258,27.048,42.907,35.239,7.705,79.096
2018-08-01,2018,agosto,774.581,16.126,36.234,4.99,0.366,103.459,22.872,387.134,21.59,23.98,43.196,36.244,6.784,71.606
2018-09-01,2018,septiembre,732.3910000000001,13.623,35.669,4.721,0.357,103.262,17.826,361.351,21.55,21.158,43.317,37.428,6.099,66.03
2018-10-01,2018,octubre,699.781,11.748,35.519,4.471,0.352,105.117,16.783,337.544,21.564,19.313,41.372,38.429,5.572,61.997
2018-11-01,2018,noviembre,719.0659999999999,12.869,35.706,4.656,0.335,106.257,26.099,326.337,21.737,26.938,44.074,38.589,6.853,68.616
2018-12-01,2018,diciembre,712.8489999999999,13.672,33.376,4.078,0.317,102.802,33.782,321.352,21.858,26.757,41.489,38.164,6.586,68.616
2019-01-01,2019,enero,701.5690000000001,13.222,30.7,4.057,0.371,98.357,35.47,320.998,21.258,26.395,40.047,37.533,5.844,67.317
2019-02-01,2019,febrero,720.2960000000002,13.109,30.526,4.1,0.342,98.674,40.473,324.373,21.008,25.293,44.123,42.296,5.964,70.015
2019-03-01,2019,marzo,710.654,12.166,26.934,3.589,0.305,97.663,31.325,330.827,19.015,28.305,41.98,41.585,5.621,71.339
2019-04-01,2019,abril,720.5439999999999,10.77,24.37,4.204,0.353,94.558,29.962,345.179,20.202,28.908,42.572,41.05,5.56,72.856
2019-05-01,2019,mayo,699.8659999999999,9.716,19.52,4.04,0.304,88.065,23.832,344.346,21.391,28.418,45.145,42.728,5.56,66.801
2019-06-01,2019,junio,645.9470000000001,8.458,17.383,2.961,0.322,79.293,17.658,324.729,19.177,26.612,45.094,42.039,5.086,57.135
2019-07-01,2019,julio,587.4140000000002,6.607,16.71,2.47,0.289,72.158,15.55,295.016,17.394,23.439,46.06,39.234,4.157,48.33
2019-08-01,2019,agosto,536.587,5.182,16.126,1.912,0.255,66.775,13.324,269.605,16.753,20.408,43.56,38.696,3.29,40.701
2019-09-01,2019,septiembre,497.5959999999999,4.124,15.852,1.611,0.238,63.972,12.007,246.344,17.136,17.512,42.907,38.91,2.727,34.256
2019-10-01,2019,octubre,463.69800000000004,3.193,15.583,1.38,0.224,63.701,11.235,225.865,15.866,15.14,41.233,37.874,2.486,29.918
2019-11-01,2019,noviembre,495.23799999999994,3.592,15.873,1.463,0.336,61.257,22.715,228.687,20.916,25.717,41.005,35.814,4.066,33.797
2019-12-01,2019,diciembre,624.675,7.628,20.995,2.632,0.338,63.521,46.02,286.424,22.768,31.434,45.069,39.045,7.602,51.199
2020-01-01,2020,enero,647.0139999999999,9.154,22.951,2.842,0.373,64.38,39.574,316.941,21.537,29.213,41.489,36.833,7.72,54.007
2020-02-01,2020,febrero,675.684,10.406,30.318,3.188,0.276,63.252,40.748,326.963,22.851,28.908,44.222,38.723,8.297,57.532
2020-03-01,2020,marzo,702.397,11.34,32.185,3.542,0.318,62.359,45.403,338.733,22.892,29.519,42.027,43.425,8.492,62.162
2020-04-01,2020,abril,800.488,16.226,37.528,6.427,0.453,76.097,47.999,385.238,22.81,30.488,45.246,43.396,9.202,79.378
2020-05-01,2020,mayo,810.2710000000002,17.441,37.451,6.234,0.326,77.186,44.882,398.646,22.236,28.493,43.976,43.513,8.803,81.084
2020-06-01,2020,junio,775.0369999999999,16.954,35.444,5.128,0.326,74.057,38.159,393.77,16.868,28.268,38.826,42.988,7.757,76.492
2020-07-01,2020,julio,722.0400000000001,15.48,32.292,4.074,0.335,69.283,27.341,378.209,16.329,25.575,37.154,40.189,6.028,69.751
2020-08-01,2020,agosto,673.061,13.788,30.179,3.174,0.316,66.031,17.075,362.019,15.665,22.51,36.986,36.627,4.188,64.503
2020-09-01,2020,septiembre,641.109,12.02,29.051,3.127,0.324,69.86,15.167,341.118,15.487,20.5,37.091,32.541,3.156,61.667
2020-10-01,2020,octubre,646.1990000000001,11.369,29.561,3.389,0.336,79.987,19.167,321.973,17.371,24.666,37.513,31.71,4.147,65.01
2020-11-01,2020,noviembre,677.7150000000001,15.596,32.256,4.354,0.307,83.256,26.556,322.594,20.421,22.477,36.488,35.89,5.469,72.051
2020-12-01,2020,diciembre,752.954,19.546,33.851,5.248,0.321,96.598,45.859,328.937,21.617,28.493,44.619,38.857,8.305,80.703
2021-01-01,2021,enero,786.639,23.477,34.108,5.805,0.384,102.213,48.117,332.906,23.6,29.557,49.209,43.689,8.811,84.763
2021-02-01,2021,febrero,792.2310000000001,23.414,34.477,6.134,0.351,117.166,45.471,331.279,22.006,28.946,44.222,47.479,8.859,82.427
2021-03-01,2021,marzo,802.4939999999999,23.731,37.489,6.63,0.291,111.96,47.74,343.976,19.54,26.288,46.188,46.455,9.103,83.103
